TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2019,3,11,12,0,4XX E PENDER ST,Strathcona,493065.4797,5458615.6264
Theft from Vehicle,2019,10,26,8,55,4XX E PENDER ST,Strathcona,493065.4797,5458615.6264
Theft from Vehicle,2019,12,26,22,0,4XX E PENDER ST,Strathcona,493131.2517,5458614.1749
Theft from Vehicle,2019,3,8,12,15,4XX GORE AVE,Strathcona,492916.4817,5458728.3904
Theft from Vehicle,2019,3,16,23,36,4XX GORE AVE,Strathcona,492916.4817,5458728.3904
Theft from Vehicle,2019,6,17,7,0,4XX GORE AVE,Strathcona,492916.4817,5458728.3904
Theft from Vehicle,2019,11,17,14,54,4XX GORE AVE,Strathcona,492916.4817,5458728.3904
Theft from Vehicle,2019,1,19,14,50,4XX HAWKS AVE,Strathcona,493665.0602,5458702.5292
Theft from Vehicle,2019,8,10,12,25,4XX HEATLEY AVE,Strathcona,493492.8156,5458710.6517
Theft from Vehicle,2019,9,13,19,0,4XX HEATLEY AVE,Strathcona,493492.8156,5458710.6517
Theft from Vehicle,2019,10,22,16,30,4XX HEATLEY AVE,Strathcona,493492.8156,5458710.6517
Theft from Vehicle,2019,11,9,20,0,4XX HEATLEY AVE,Strathcona,493492.8156,5458710.6517
Theft from Vehicle,2019,2,5,18,30,4XX INDUSTRIAL AVE,Strathcona,493034.2272,5457413.745
Theft from Vehicle,2019,9,29,21,30,4XX INDUSTRIAL AVE,Strathcona,493034.2272,5457413.745
Theft from Vehicle,2019,10,7,9,30,4XX INDUSTRIAL AVE,Strathcona,493034.2272,5457413.745
Theft from Vehicle,2019,6,23,17,30,4XX KEEFER ST,Strathcona,493066.0803,5458515.9829
Theft from Vehicle,2019,7,30,10,0,4XX KEEFER ST,Strathcona,493066.0803,5458515.9829
Theft from Vehicle,2019,6,7,19,30,4XX KEEFER ST,Strathcona,493087.1963,5458515.3483
Theft from Vehicle,2019,6,29,2,0,4XX KEEFER ST,Strathcona,493105.4967,5458514.7982
Theft from Vehicle,2019,7,23,16,30,4XX KEEFER ST,Strathcona,493107.7038,5458523.88
Theft from Vehicle,2019,6,25,5,30,4XX MAIN ST,Strathcona,492753.9742,5458697.0305
Theft from Vehicle,2019,6,25,5,30,4XX MAIN ST,Strathcona,492754.0639,5458706.324
Theft from Vehicle,2019,10,4,5,30,4XX MAIN ST,Strathcona,492754.0639,5458706.324
Theft from Vehicle,2019,6,12,23,0,4XX MAIN ST,Strathcona,492754.3113,5458731.9687
Theft from Vehicle,2019,7,10,11,0,4XX MAIN ST,Strathcona,492754.3113,5458731.9687
Theft from Vehicle,2019,12,17,13,45,4XX MAIN ST,Strathcona,492754.3113,5458731.9687
Theft from Vehicle,2019,10,17,23,0,4XX POWELL ST,Strathcona,493074.0123,5458928.249
Theft from Vehicle,2019,8,3,16,58,4XX POWELL ST,Strathcona,493190.3971,5458933.915
Theft from Vehicle,2019,1,16,11,45,4XX PRINCESS AVE,Strathcona,493351.9607,5458714.3087
Theft from Vehicle,2019,5,4,15,0,4XX PRINCESS AVE,Strathcona,493351.9607,5458714.3087
Theft from Vehicle,2019,6,20,21,0,4XX PRINCESS AVE,Strathcona,493351.9607,5458714.3087
Theft from Vehicle,2019,6,29,0,30,4XX PRINCESS AVE,Strathcona,493351.9607,5458714.3087
Theft from Vehicle,2019,11,12,3,0,4XX PRIOR ST,Strathcona,493054.3435,5458215.1574
Theft from Vehicle,2019,7,7,2,0,4XX PRIOR ST,Strathcona,493125.2496,5458222.9432
Theft from Vehicle,2019,8,30,21,0,4XX PRIOR ST,Strathcona,493125.2496,5458222.9432
Theft from Vehicle,2019,1,14,15,36,4XX RAILWAY ST,Strathcona,493081.0017,5459124.8721
Theft from Vehicle,2019,2,28,12,34,4XX RAILWAY ST,Strathcona,493081.0017,5459124.8721
Theft from Vehicle,2019,6,21,9,0,4XX RAILWAY ST,Strathcona,493081.0017,5459124.8721
Theft from Vehicle,2019,8,8,11,31,4XX RAILWAY ST,Strathcona,493081.0017,5459124.8721
Theft from Vehicle,2019,8,2,2,24,4XX RAILWAY ST,Strathcona,493118.8972,5459126.903
Theft from Vehicle,2019,4,29,11,34,4XX RAILWAY ST,Strathcona,493205.8375,5459114.5326
Theft from Vehicle,2019,5,19,0,0,4XX RAYMUR AVE,Strathcona,493997.4694,5458655.6034
Theft from Vehicle,2019,1,10,7,0,4XX TERMINAL AVE,Strathcona,493062.0487,5457689.6718
Theft from Vehicle,2019,7,18,14,30,4XX TERMINAL AVE,Strathcona,493158.1298,5457663.187
Theft from Vehicle,2019,1,30,14,30,4XX UNION ST,Strathcona,493055.4291,5458314.8485
Theft from Vehicle,2019,4,6,11,33,4XX UNION ST,Strathcona,493055.4291,5458314.8485
Theft from Vehicle,2019,4,15,21,30,4XX UNION ST,Strathcona,493055.4291,5458314.8485
Theft from Vehicle,2019,9,1,23,0,4XX UNION ST,Strathcona,493055.4291,5458314.8485
Theft from Vehicle,2019,7,8,22,18,4XX UNION ST,Strathcona,493071.965,5458323.5414
Theft from Vehicle,2019,7,19,20,0,4XX UNION ST,Strathcona,493117.8534,5458313.1323
Theft from Vehicle,2019,2,24,17,30,4XX VERNON DR,Strathcona,494236.3543,5458640.4635
Theft from Vehicle,2019,7,30,22,0,4XX VERNON DR,Strathcona,494236.808,5458657.9933
Theft from Vehicle,2019,3,8,12,0,4XX VERNON DR,Strathcona,494247.19,5458705.7472
Theft from Vehicle,2019,7,9,20,45,5X DUNLEVY AVE,Strathcona,493068.0477,5459117.9914
Theft from Vehicle,2019,10,12,12,0,5X DUNLEVY AVE,Strathcona,493068.0477,5459117.9914
Theft from Vehicle,2019,1,10,2,0,5X DUNLEVY AVE,Strathcona,493068.2376,5459123.4876
Theft from Vehicle,2019,4,3,10,0,5X DUNLEVY AVE,Strathcona,493068.2376,5459123.4876
Theft from Vehicle,2019,6,16,18,29,5X DUNLEVY AVE,Strathcona,493068.2376,5459123.4876
Theft from Vehicle,2019,6,7,18,30,5X DUNLEVY AVE,Strathcona,493077.5734,5459129.5825
Theft from Vehicle,2019,8,3,11,10,5X DUNLEVY AVE,Strathcona,493077.5734,5459129.5825
Theft from Vehicle,2019,5,31,15,17,5X JACKSON AVE,Strathcona,493210.9485,5459072.3871
Theft from Vehicle,2019,6,25,18,6,5X JACKSON AVE,Strathcona,493210.9485,5459072.3871
Theft from Vehicle,2019,1,4,18,0,5XX ALEXANDER ST,Strathcona,493221.1894,5459025.6022
Theft from Vehicle,2019,8,9,6,0,5XX ATLANTIC ST,Strathcona,493225.8365,5458112.7053
Theft from Vehicle,2019,9,24,0,0,5XX ATLANTIC ST,Strathcona,493233.705,5458121.691
Theft from Vehicle,2019,12,19,9,27,5XX E 1ST AVE,Strathcona,493151.0652,5457304.2711
Theft from Vehicle,2019,4,21,17,30,5XX E 1ST AVE,Strathcona,493198.0224,5457292.5313
Theft from Vehicle,2019,5,2,9,47,5XX E CORDOVA ST,Strathcona,493215.2723,5458824.2855
Theft from Vehicle,2019,7,30,23,40,5XX E CORDOVA ST,Strathcona,493215.2723,5458824.2855
Theft from Vehicle,2019,12,23,15,53,5XX E CORDOVA ST,Strathcona,493231.0243,5458823.7394
Theft from Vehicle,2019,2,5,19,0,5XX E CORDOVA ST,Strathcona,493242.5761,5458823.3389
Theft from Vehicle,2019,12,14,19,15,5XX E CORDOVA ST,Strathcona,493289.0983,5458830.8757
Theft from Vehicle,2019,1,25,20,0,5XX E GEORGIA ST,Strathcona,493202.78,5458411.5669
Theft from Vehicle,2019,4,15,5,51,5XX E GEORGIA ST,Strathcona,493202.78,5458411.5669
Theft from Vehicle,2019,7,4,7,0,5XX E HASTINGS ST,Strathcona,493212.0459,5458719.7881
Theft from Vehicle,2019,12,16,10,0,5XX E HASTINGS ST,Strathcona,493212.0459,5458719.7881
Theft from Vehicle,2019,3,21,0,30,5XX E HASTINGS ST,Strathcona,493264.4067,5458718.0456
Theft from Vehicle,2019,7,10,9,50,5XX E PENDER ST,Strathcona,493208.4766,5458612.4018
Theft from Vehicle,2019,1,4,13,0,5XX E PENDER ST,Strathcona,493227.3955,5458611.8
Theft from Vehicle,2019,8,31,12,0,5XX EVANS AVE,Strathcona,493253.5115,5457773.3244
Theft from Vehicle,2019,10,12,7,15,5XX EVANS AVE,Strathcona,493291.6013,5457763.4612
Theft from Vehicle,2019,8,6,23,44,5XX GORE AVE,Strathcona,492927.931,5458620.0687
Theft from Vehicle,2019,10,2,20,0,5XX GORE AVE,Strathcona,492927.931,5458620.0687
Theft from Vehicle,2019,7,5,19,0,5XX GREAT NORTHERN WAY,Strathcona,493300.4716,5457123.2281
Theft from Vehicle,2019,10,7,11,30,5XX GREAT NORTHERN WAY,Strathcona,493300.4716,5457123.2281
Theft from Vehicle,2019,6,20,23,34,5XX HEATLEY AVE,Strathcona,493489.2024,5458580.0767
Theft from Vehicle,2019,6,5,21,0,5XX JACKSON AVE,Strathcona,493196.7022,5458607.7599
Theft from Vehicle,2019,1,18,9,0,5XX JACKSON AVE,Strathcona,493205.967,5458612.0403
Theft from Vehicle,2019,6,14,18,0,5XX JACKSON AVE,Strathcona,493205.967,5458612.0403
