TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2018,7,17,12,0,2XX N TEMPLETON DR,Grandview-Woodland,495664.9238,5459354.9789
Theft from Vehicle,2018,3,3,18,0,2XX WOODLAND DR,Grandview-Woodland,494724.848,5458924.9071
Theft from Vehicle,2018,5,5,12,31,2XX WOODLAND DR,Grandview-Woodland,494724.9658,5458928.4475
Theft from Vehicle,2018,8,16,10,0,3XX COMMERCIAL DR,Grandview-Woodland,494886.0099,5458826.5658
Theft from Vehicle,2018,3,27,17,30,3XX LAKEWOOD DR,Grandview-Woodland,495509.2205,5458792.3962
Theft from Vehicle,2018,7,15,23,0,3XX LAKEWOOD DR,Grandview-Woodland,495509.2205,5458792.3962
Theft from Vehicle,2018,1,17,7,17,3XX LAKEWOOD DR,Grandview-Woodland,495518.4787,5458817.141
Theft from Vehicle,2018,7,4,8,39,3XX LAKEWOOD DR,Grandview-Woodland,495518.4787,5458817.141
Theft from Vehicle,2018,5,6,7,48,3XX MCLEAN DR,Grandview-Woodland,494615.934,5458831.6664
Theft from Vehicle,2018,5,11,6,15,3XX MCLEAN DR,Grandview-Woodland,494615.934,5458831.6664
Theft from Vehicle,2018,8,5,23,0,3XX MCLEAN DR,Grandview-Woodland,494615.934,5458831.6664
Theft from Vehicle,2018,12,11,21,0,3XX N GARDEN DR,Grandview-Woodland,495805.6859,5459496.1967
Theft from Vehicle,2018,1,13,11,34,3XX VICTORIA DR,Grandview-Woodland,495236.4172,5458820.3328
Theft from Vehicle,2018,7,2,14,50,4XX COMMERCIAL DR,Grandview-Woodland,494884.4005,5458722.1665
Theft from Vehicle,2018,9,7,17,0,4XX LAKEWOOD DR,Grandview-Woodland,495516.138,5458622.6809
Theft from Vehicle,2018,2,17,16,19,4XX MCLEAN DR,Grandview-Woodland,494614.0439,5458729.314
Theft from Vehicle,2018,6,1,20,30,4XX SEMLIN DR,Grandview-Woodland,495376.4226,5458715.4234
Theft from Vehicle,2018,9,23,23,0,4XX WOODLAND DR,Grandview-Woodland,494722.1792,5458727.1495
Theft from Vehicle,2018,10,26,22,0,5X LAKEWOOD DR,Grandview-Woodland,495513.1416,5459069.6563
Theft from Vehicle,2018,5,5,12,0,5XX COMMERCIAL DR,Grandview-Woodland,494872.7181,5458597.0889
Theft from Vehicle,2018,5,2,15,30,5XX SALSBURY DR,Grandview-Woodland,495036.2121,5458612.6216
Theft from Vehicle,2018,3,29,18,30,5XX TEMPLETON DR,Grandview-Woodland,495647.0068,5458550.3011
Theft from Vehicle,2018,1,24,0,1,5XX TEMPLETON DR,Grandview-Woodland,495656.8045,5458608.6177
Theft from Vehicle,2018,9,17,20,0,5XX WOODLAND DR,Grandview-Woodland,494719.6624,5458606.2266
Theft from Vehicle,2018,11,29,19,0,5XX WOODLAND DR,Grandview-Woodland,494719.8693,5458618.1628
Theft from Vehicle,2018,11,29,0,5,6XX COMMERCIAL DR,Grandview-Woodland,494870.8486,5458485.9346
Theft from Vehicle,2018,10,31,22,0,6XX SEMLIN DR,Grandview-Woodland,495372.0881,5458450.4224
Theft from Vehicle,2018,6,23,17,0,7XX CLARK DR,Grandview-Woodland,494387.482,5458423.6256
Theft from Vehicle,2018,4,21,13,0,7XX SALSBURY DR,Grandview-Woodland,495033.2667,5458412.3715
Theft from Vehicle,2018,6,19,23,0,7XX VICTORIA DR,Grandview-Woodland,495232.6742,5458328.092
Theft from Vehicle,2018,5,21,16,0,8XX CLARK DR,Grandview-Woodland,494386.0057,5458324.8846
Theft from Vehicle,2018,12,21,8,0,8XX LAKEWOOD DR,Grandview-Woodland,495513.31,5458276.2408
Theft from Vehicle,2018,7,5,16,0,8XX LAKEWOOD DR,Grandview-Woodland,495513.49,5458304.4129
Theft from Vehicle,2018,2,13,22,15,8XX NANAIMO ST,Grandview-Woodland,495881.2117,5458272.7447
Theft from Vehicle,2018,5,6,10,0,8XX SALSBURY DR,Grandview-Woodland,495023.3295,5458249.0824
Theft from Vehicle,2018,3,28,12,0,8XX SEMLIN DR,Grandview-Woodland,495371.4438,5458305.8155
Theft from Vehicle,2018,12,28,18,0,8XX SEMLIN DR,Grandview-Woodland,495371.5242,5458301.9591
Theft from Vehicle,2018,7,24,11,0,8XX SEMLIN DR,Grandview-Woodland,495373.2308,5458220.1337
Theft from Vehicle,2018,6,13,0,0,8XX VICTORIA DR,Grandview-Woodland,495223.3131,5458286.6829
Theft from Vehicle,2018,3,1,18,0,9XX SALSBURY DR,Grandview-Woodland,495091.5123,5458211.1613
Theft from Vehicle,2018,6,27,8,31,9XX SEMLIN DR,Grandview-Woodland,495363.4391,5458157.6034
Theft from Vehicle,2018,11,1,14,0,9XX SEMLIN DR,Grandview-Woodland,495373.435,5458207.459
Theft from Vehicle,2018,8,20,0,0,ADANAC ST / COMMERCIAL DR,Grandview-Woodland,494873.8769,5458315.1559
Theft from Vehicle,2018,1,17,11,30,ADANAC ST / GARDEN DR,Grandview-Woodland,495790.1932,5458303.0276
Theft from Vehicle,2018,1,20,22,0,ADANAC ST / LAKEWOOD DR,Grandview-Woodland,495508.9277,5458305.9406
Theft from Vehicle,2018,1,19,19,30,ADANAC ST / SALSBURY DR,Grandview-Woodland,495028.6042,5458312.5015
Theft from Vehicle,2018,1,23,2,0,ADANAC ST / SALSBURY DR,Grandview-Woodland,495028.6042,5458312.5015
Theft from Vehicle,2018,2,3,14,56,CAMBRIDGE ST / N GARDEN DR,Grandview-Woodland,495800.6537,5459318.2859
Theft from Vehicle,2018,3,25,15,45,CHARLES ST / CLARK DR,Grandview-Woodland,494375.9357,5457821.9556
Theft from Vehicle,2018,6,16,10,30,CHARLES ST / SALSBURY DR,Grandview-Woodland,495080.9314,5457809.8744
Theft from Vehicle,2018,1,14,22,0,CHARLES ST / TEMPLETON DR,Grandview-Woodland,495643.0084,5457800.6508
Theft from Vehicle,2018,1,27,3,16,CHARLES ST / TEMPLETON DR,Grandview-Woodland,495643.0084,5457800.6508
Theft from Vehicle,2018,10,12,8,0,CLARK DR / E 1ST AVE,Grandview-Woodland,494371.8735,5457434.9755
Theft from Vehicle,2018,1,14,0,30,CLARK DR / E 3RD AVE,Grandview-Woodland,494370.6208,5457234.947
Theft from Vehicle,2018,6,25,8,15,CLARK DR / E PENDER ST,Grandview-Woodland,494387.8994,5458625.4742
