TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2018,3,3,8,3,9XX BROUGHTON ST,West End,490327.1907,5459236.165
Theft from Vehicle,2018,10,26,19,0,9XX BROUGHTON ST,West End,490327.1907,5459236.165
Theft from Vehicle,2018,12,9,18,0,9XX BROUGHTON ST,West End,490327.1907,5459236.165
Theft from Vehicle,2018,1,30,22,0,9XX BURRARD ST,West End,490870.3933,5458765.9317
Theft from Vehicle,2018,3,29,15,0,9XX BURRARD ST,West End,490888.5062,5458783.6333
Theft from Vehicle,2018,5,25,19,3,9XX BURRARD ST,West End,490888.5062,5458783.6333
Theft from Vehicle,2018,11,6,11,30,9XX BURRARD ST,West End,490888.5062,5458783.6333
Theft from Vehicle,2018,11,17,20,0,9XX BURRARD ST,West End,490888.5062,5458783.6333
Theft from Vehicle,2018,11,28,21,15,9XX BURRARD ST,West End,490888.5062,5458783.6333
Theft from Vehicle,2018,12,31,0,0,9XX BURRARD ST,West End,490888.5062,5458783.6333
Theft from Vehicle,2018,1,5,22,45,9XX BURRARD ST,West End,490938.7233,5458832.2216
Theft from Vehicle,2018,3,16,6,40,9XX BURRARD ST,West End,490938.7233,5458832.2216
Theft from Vehicle,2018,7,15,17,0,9XX BURRARD ST,West End,490938.7233,5458832.2216
Theft from Vehicle,2018,11,19,10,0,9XX BURRARD ST,West End,490938.7233,5458832.2216
Theft from Vehicle,2018,9,29,6,50,9XX BUTE ST,West End,490541.9474,5459027.7584
Theft from Vehicle,2018,10,22,22,0,9XX BUTE ST,West End,490541.9474,5459027.7584
Theft from Vehicle,2018,3,1,18,0,9XX BUTE ST,West End,490566.5771,5459053.3543
Theft from Vehicle,2018,10,10,12,30,9XX BUTE ST,West End,490584.6989,5459072.1866
Theft from Vehicle,2018,2,4,21,0,9XX BUTE ST,West End,490587.7335,5459088.5276
Theft from Vehicle,2018,1,3,21,0,9XX BUTE ST,West End,490613.5692,5459102.1885
Theft from Vehicle,2018,1,25,1,25,9XX BUTE ST,West End,490613.5692,5459102.1885
Theft from Vehicle,2018,1,31,15,0,9XX BUTE ST,West End,490613.5692,5459102.1885
Theft from Vehicle,2018,10,7,15,15,9XX DENMAN ST,West End,489948.1855,5459656.0901
Theft from Vehicle,2018,3,8,9,30,9XX DENMAN ST,West End,489988.3678,5459708.5455
Theft from Vehicle,2018,10,9,15,0,9XX DENMAN ST,West End,490032.7081,5459741.5561
Theft from Vehicle,2018,3,6,11,0,9XX GILFORD ST,West End,489803.3784,5459751.0976
Theft from Vehicle,2018,10,24,4,47,9XX GILFORD ST,West End,489803.3784,5459751.0976
Theft from Vehicle,2018,8,7,0,0,9XX GILFORD ST,West End,489845.9551,5459780.6415
Theft from Vehicle,2018,3,27,17,0,9XX JERVIS ST,West End,490497.6193,5459206.3104
Theft from Vehicle,2018,9,27,16,30,9XX JERVIS ST,West End,490514.543,5459223.0346
Theft from Vehicle,2018,10,26,17,0,9XX JERVIS ST,West End,490514.543,5459223.0346
Theft from Vehicle,2018,4,23,0,0,9XX JERVIS ST,West End,490566.5148,5459293.6555
Theft from Vehicle,2018,4,11,22,0,9XX JERVIS ST,West End,490570.2859,5459290.5463
